checkpoint_seed,direction_family,direction_family_index,direction_index,direction_rng_seed_or_hash,direction_vector_or_lossless_reference,direction_vector_sha256,directional_cosine,epsilon_applied,epsilon_ref,g_actual,g_pred,gamma_local,producer_future_dtype,producer_predicted_dtype,record_index,route,stable_unit_id,stratum
291402,random_orthogonal,19,39,rng_seed:8353161835999969590,causal_direction_vectors.npz:direction_vectors[39],DCA6C65A1E93047FA68C1D16EAB5B5C54B637BF7745A0EB4A88C345EB8FA02BF,0.999997591888955,0.6498769760131836,6.498769760131836,0.0316750705242157,0.0313147682972059,0.1,float32,float64,39,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,random_orthogonal,20,40,rng_seed:8335389263235944027,causal_direction_vectors.npz:direction_vectors[40],8CC82A09C0CAED3B975F902D6885ACD41B5418DC3AD70BF63BBD859EADC170AB,0.9999985599797393,0.6498769760131836,6.498769760131836,0.03330463916063309,0.03288602849681936,0.1,float32,float64,40,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,random_orthogonal,21,41,rng_seed:5974990374866648816,causal_direction_vectors.npz:direction_vectors[41],D77E00E8BA3A15F45E6D0B4328C79CFD25206CF78F582A0365F34315374EECFC,0.9999996633877846,0.6498769760131836,6.498769760131836,0.026603057980537415,0.02648807045486876,0.1,float32,float64,41,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,random_orthogonal,22,42,rng_seed:1227484293660847974,causal_direction_vectors.npz:direction_vectors[42],6B42F8EF1D8571684484B1F0908CB6770492114C5AF95AF015F3DC6C4583FDD6,0.9999770241245384,0.6498769760131836,6.498769760131836,0.029994511976838112,0.029666136287692955,0.1,float32,float64,42,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,random_orthogonal,23,43,rng_seed:2626750388329470650,causal_direction_vectors.npz:direction_vectors[43],D10F7E5BE55745CB8C8794B12570C283319913843E4E5C4E1908B4FA541442A1,0.9999997462480095,0.6498769760131836,6.498769760131836,0.03814315423369408,0.038035320794240615,0.1,float32,float64,43,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,random_orthogonal,24,44,rng_seed:16142533254684598690,causal_direction_vectors.npz:direction_vectors[44],6C6A753CA80C959CEBA50D3DF955F0E95188F06905D5D0AFBBD3F21FCD1713C0,0.9999991026662594,0.6498769760131836,6.498769760131836,0.03854260966181755,0.03847319693102174,0.1,float32,float64,44,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,random_orthogonal,25,45,rng_seed:12049057721667073112,causal_direction_vectors.npz:direction_vectors[45],7BC3355ADE2AA849D399CF91807C7DE8B27C362303CF0C00CC947F8491438830,0.9999886786403402,0.6498769760131836,6.498769760131836,0.0387180931866169,0.03806070348879799,0.1,float32,float64,45,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,random_orthogonal,26,46,rng_seed:6404562626599912852,causal_direction_vectors.npz:direction_vectors[46],761745C882A444A6AACAF201A37BA2802FF8AFC8DF865C1BBA95D649D8F8DF8C,0.9999988171996853,0.6498769760131836,6.498769760131836,0.04059842601418495,0.040428685491090716,0.1,float32,float64,46,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,random_orthogonal,27,47,rng_seed:17522113103426878202,causal_direction_vectors.npz:direction_vectors[47],D1D90C0E2E9A3914A31881130DC843F63AB013C6A36F0CCB21FAB40CAD779878,0.9999819682058453,0.6498769760131836,6.498769760131836,0.019969824701547623,0.019431296758329893,0.1,float32,float64,47,CF,W29U_2B98D8963199CEBD39881CF3,S1
291402,random_orthogonal,28,48,rng_seed:584526377329218498,causal_direction_vectors.npz:direction_vectors[48],6DD617F463EC8E88BACCB12DAA018CD2EB7D7868AA70035865DDB0FF1789320D,0.9999976861150773,0.6498769760131836,6.498769760131836,0.04204322397708893,0.041588192606425614,0.1,float32,float64,48,CF,W29U_2B98D8963199CEBD39881CF3,S1
