Delta_align,Delta_d,S_sub_F_CF,S_sub_P_CF,checkpoint,d_R_F_CF,d_R_P_CF,r_CF,r_F,r_P,stratum,unit_id
0.022531662373354133,0.8994574598779866,0.9755854329790586,0.9981170953524128,291402,1.1372578532010549,0.23780039332306824,4,2,4,S2,W29U_A2599D3295EC0563B06B9904
0.033195089572702674,1.1151384414717969,0.9630950962730944,0.9962901858457971,291402,1.233680284101604,0.11854184262980715,2,3,2,S2,W29U_61CA805816309171BA652E24
0.02347156153079244,0.8549228198605467,0.9755850041686047,0.9990565656993972,291402,0.9516807215332429,0.09675790167269614,3,3,4,S2,W29U_4A949BC43B7EBA039FBCF755
0.017348191588307915,1.0235774525184227,0.9783166526787711,0.995664844267079,291402,1.287283537419353,0.26370608490093017,3,2,4,S2,W29U_BAEA92E0AF8EFDA4A5D1A272
0.29834963912005696,0.6365320132867167,0.5908861049622165,0.8892357440822735,291402,0.933445694998533,0.29691368171181637,3,3,3,S2,W29U_7B66010E91B04E7D027A4DB1
0.06581751116568701,0.23250809651255278,0.8990098201597643,0.9648273313254513,291402,1.3029494338118313,1.0704413372992785,4,2,2,S2,W29U_C1EEFD3EC60839B7FC16C567
0.21662387101877012,0.16795003477442294,0.7025248105776313,0.9191486815964014,291402,1.5621651902932325,1.3942151555188096,5,2,2,S2,W29U_845964ADB660A765D929E61B
0.10466721729007644,0.6317829434540433,0.8882154350818163,0.9928826523718928,291402,0.7467141941618063,0.11493125070776304,4,4,4,S2,W29U_35C707ACB41E5A2BB2C7F4F4
0.0989409000514434,1.4785953474766977,0.8873934467447353,0.9863343467961787,291402,1.6274401845422628,0.14884483706556512,4,1,4,S2,W29U_949CC7C8E67B372BAFDBC304
0.00902234386219447,-0.2848257716637158,0.9794817667819483,0.9885041106441428,291402,0.7785918423227748,1.0634176139864906,4,3,2,S2,W29U_66B630D7911A20329B5E4CE5
0.03473599911231762,1.290475223714964,0.9578301204065536,0.9925661195188712,291402,1.4061154695119362,0.11564024579697231,4,2,4,S2,W29U_4AB8314629FC2762CF312EFA
0.07513179515018087,0.034690195445773675,0.8694532177202938,0.9445850128704747,291402,1.212692440096003,1.1780022446502294,2,3,3,S2,W29U_350A2A50D509582EE77C5BC2
0.07830266193804725,0.11654639873596884,0.8407275617633981,0.9190302237014454,291402,0.9150394287491105,0.7984930300131416,4,3,3,S2,W29U_900AA2BEA87870498EC902FB
0.05418808309717582,0.1489294460249,0.9043799827284902,0.958568065825666,291402,1.0831023655233147,0.9341729194984147,3,3,3,S2,W29U_A28F88AE9DF49C367E44FAD1
0.04754580485299276,0.7246237608142212,0.9492071773946305,0.9967529822476232,291402,0.7896548597773698,0.06503109896314863,4,3,4,S2,W29U_5D9D815DFF68050432EF99CA
