checkpoint,stratum,unit_id,native_CF_r90,S_F_CF,S_P_CF,S_P_F,Delta_Align,Delta_PF_Align,dR_F_CF,dR_P_CF,dR_P_F,Delta_d,source_record_index
291403,S2,W29U_892DA025ACDFF84933321F20,2,0.7369765174407459,0.9274227015132088,0.7561762657430856,0.19044618407246294,0.2438237342569144,1.3758131966326386,1.3256282746555816,1.8201112274208922,0.05018492197705693,206
291403,S2,W29U_73065A553DFE906571964300,4,0.8876701231643249,0.9946479653076449,0.8800227111592864,0.10697784214331996,0.11997728884071357,1.7105493622279355,0.0901192504989444,1.7002452024529058,1.6204301117289912,207
291403,S2,W29U_C60ABF0DB56F7FBB9895074C,4,0.6440344625904586,0.8473988411817188,0.8244992541453489,0.20336437859126022,0.17550074585465114,0.8130234845635745,0.45617770788109824,0.6526054359204597,0.3568457766824763,208
291403,S2,W29U_3DF0E7AAB226AAD308C16CE9,5,0.6800057333700276,0.9164822687978486,0.6588959939718599,0.236476535427821,0.34110400602814006,1.5585867662233635,1.4125645522706591,1.344127272438968,0.14602221395270432,209
291403,S2,W29U_BFB40E437B015FF1CAF06607,3,0.9076783724749391,0.9804498519637423,0.9355464431704531,0.07277147948880325,0.0644535568295469,1.0707910920351147,0.6030541727803893,0.8401289444889709,0.4677369192547254,210
291403,S2,W29U_CEE8A1F4EEDE37ED7EE387BD,1,0.6432812948093746,0.9751736932746563,0.6099510529417784,0.33189239846528173,0.3900489470582216,1.3666627028796217,0.6517074877097309,1.2703131474039655,0.7149552151698908,211
291403,S2,W29U_FDC8D87187069F82ADEA16CB,2,0.9775514749471178,0.9954068981938486,0.9705708130894974,0.01785542324673084,0.02942918691050256,1.1996983220339141,0.4827871132523888,1.5187802326951356,0.7169112087815253,212
291403,S2,W29U_930765BC222C77ED6DA8FCF1,4,0.9312112799687435,0.9665519280698325,0.9822392692356832,0.035340648101088945,0.017760730764316834,0.6814165931955888,0.4379408906073964,0.673216227389009,0.2434757025881924,213
291403,S2,W29U_8554CD43CD3B32615F3A644F,4,0.7378358269663033,0.9887759528213851,0.7298009863401386,0.25094012585508174,0.27019901365986143,1.065440546394993,0.10561279339682308,1.0705190962361186,0.9598277529981699,214
291403,S2,W29U_3312DE18215FD10EB1066B20,5,0.6608330484093364,0.9343540848929098,0.667451907403503,0.2735210364835734,0.332548092596497,1.4828160104876462,0.2474843489568896,1.5077762270212922,1.2353316615307566,215
