P_d,P_s,S_sub_gamma_CF,checkpoint,d_R_gamma_CF,gamma,stratum,unit_id
0.5481518973236444,0.12161648553486037,0.9738680566664892,291402,0.15677282031965678,1.0,S1,W29U_4C6ED1EB798517953D0DC778
0.0,0.0,0.9843716836392516,291402,0.21152113116768162,0.0,S1,W29U_75132999B0C6E0EEE43BA989
-0.12590811944931884,-0.0016874747969852777,0.9826842088422664,291402,0.23815335901692303,0.25,S1,W29U_75132999B0C6E0EEE43BA989
-0.26704039939441443,-0.006225214661090606,0.978146468978161,291402,0.2680058185153247,0.5,S1,W29U_75132999B0C6E0EEE43BA989
-0.4084651268124455,-0.0130382495893,0.9713334340499516,291402,0.2979201368340091,0.75,S1,W29U_75132999B0C6E0EEE43BA989
-0.5450840822372445,-0.02153102257330808,0.9628406610659436,291402,0.32681793282454624,1.0,S1,W29U_75132999B0C6E0EEE43BA989
0.0,0.0,0.916951407440741,291402,0.2716107951646078,0.0,S1,W29U_F6CAD417553B07D618F9E108
0.3297265941563075,0.04100118620686488,0.9579525936476059,291402,0.18205349273856547,0.25,S1,W29U_F6CAD417553B07D618F9E108
0.5500487048247739,0.06413680633172736,0.9810882137724684,291402,0.12221162906733829,0.5,S1,W29U_F6CAD417553B07D618F9E108
0.6043658042183178,0.07282597441288274,0.9897773818536237,291402,0.10745851850996849,0.75,S1,W29U_F6CAD417553B07D618F9E108
