C_R_midpoint,E_int16,E_int32,E_int8,E_local,I16_I8_relative,I32_I16_relative,checkpoint,stratum,unit_id
0.5408825911558477,2.1954698752020282e-05,5.917509923223374e-07,0.003845221916470133,0.5792458564757098,0.0038364785793819824,2.1916131693766435e-05,291402,S1,W29U_21A4C462A4AB85B5ED8A8FB9
0.1909495790396604,2.7615259089855306e-06,2.6799455287572855e-06,1.3049780917309382e-05,0.451180018475115,1.2158539644242877e-05,7.160559707222796e-07,291402,S1,W29U_229702C2BCB73563FD30EE1D
0.522677554482791,3.6454473276547415e-05,2.1013617816855424e-06,0.0023139292564019766,0.49876062836915436,0.0022794026537335584,3.447639055024592e-05,291402,S1,W29U_3BDC39A40CA0FF75A3C3A3A6
0.13663109074191462,1.8376263798229085e-06,1.7933402271446099e-06,2.848185381222781e-06,0.1655070441043619,1.6405721951560028e-06,1.2398178655841555e-07,291402,S1,W29U_4C6ED1EB798517953D0DC778
0.08782438307763764,5.657667559557312e-06,5.69997843060494e-06,5.657235980876758e-06,0.26308361054051227,1.0742829927802615e-06,1.7815116777593664e-07,291402,S1,W29U_75132999B0C6E0EEE43BA989
0.18318877900994843,1.2438627163066926e-06,1.1884456393187196e-06,4.871684889418272e-06,0.3607228687065257,4.360238160017379e-06,2.829641613363736e-07,291402,S1,W29U_F6CAD417553B07D618F9E108
0.2735462518801588,9.249552024752189e-06,1.6383756746146885e-06,0.00014430522838833912,0.6326042540488079,0.0001352368294392786,8.290607886179375e-06,291402,S1,W29U_E5D1686A18607C9EE6DB4092
0.19927217235898886,8.066415966306576e-06,8.271601587928567e-07,7.694339571400017e-05,1.543985126138615,7.049936590059505e-05,7.564634669685779e-06,291402,S1,W29U_93A1C9E34685B6807135F4C8
0.10219671695535293,4.352716793145111e-06,4.329143261800753e-06,4.781685957202316e-06,0.35559517638066584,1.5220708420416108e-06,1.0348599785713728e-07,291402,S1,W29U_F2575FC5D972AB054D7C658A
0.36677369474204347,4.379419460952313e-05,1.1742826323760198e-06,0.0059976314911640285,0.6153843788780228,0.006037044343805978,4.282143053156969e-05,291402,S1,W29U_0400BA4294543C5E4BC160A2
0.15224855878483337,2.789278438343991e-06,2.7693966241853932e-06,6.1360735347446406e-06,0.34804395740343735,5.202108234778037e-06,3.420452277997452e-07,291402,S1,W29U_7A5126EDF2108BF759D41021
0.12960208760778943,3.3162075363453374e-06,3.305165391121083e-06,4.562470258795517e-06,0.32743249525162865,2.691745453684328e-06,3.7950332654340665e-07,291402,S1,W29U_4542EF183B2513200195497A
0.14649531014469766,2.4084670952777278e-06,2.402723251064605e-06,7.81335697249355e-06,0.2658694385150866,7.165795136969415e-06,4.12198114253256e-07,291402,S1,W29U_1286685795C121BE6FFD658C
0.11620246587733639,2.055206472464265e-06,2.056190127258596e-06,2.0879951190351505e-06,0.169123126621405,4.783125175701234e-07,4.130421337231942e-08,291402,S1,W29U_1EDF61048BA683FEF104C62A
0.22880198011612382,3.826915642644882e-06,2.226816487045894e-06,5.194797376022574e-05,0.4818625697127347,4.8806355797487345e-05,3.0019298379585306e-06,291402,S1,W29U_D215F181D8F005BABBB41D37
0.3220602005337496,1.1642225102108338e-05,1.0380333087885821e-06,0.00018392135147325775,1.4542488116633776,0.00017286953778627575,1.081672078885617e-05,291402,S1,W29U_339AD37DFA36D01C73FDFF3C
0.10183061528597773,2.993172741971997e-06,2.9736484610279234e-06,6.022956202715201e-06,0.4001984351299521,4.85887783822647e-06,3.7092670147968804e-07,291402,S1,W29U_6E065B84AB4956262BB4BD6F
