seed,rank,stratum,route,role,denominator,joint_pass_count,joint_coverage,M1_median,M2_median,M3_median,M4_median,M5_median,M6E_pass,M7_pass,capacity_or_registered_cell_pass,failed_gates,semantic_random_control,measurement_reuse
390992,1,S1_NO_CONTACT_WITHIN_HORIZON,C_full,FULL_HIDDEN_CEILING,256,256,1.0,0.02420201471777165,0.055510345012985726,0.02529330626393425,0.02923552920187776,0.7657861802726984,True,True,True,,NOT_APPLICABLE,ONCE_PER_SEED_RANK_INVARIANT
390992,1,S2_EDIT_AFFECTS_FUTURE_CONTACT,C_full,FULL_HIDDEN_CEILING,256,256,1.0,0.02533660996897625,0.08780062926558024,0.04302269761004371,0.042680312238664454,1.5377041883766651,True,True,True,,NOT_APPLICABLE,ONCE_PER_SEED_RANK_INVARIANT
390992,2,S1_NO_CONTACT_WITHIN_HORIZON,A_affine,REGISTERED_AFFINE_REFERENCE,256,173,0.67578125,0.3178220387118589,0.3859918524458359,0.17462838153964816,0.04525003003247524,0.5781400483101606,True,True,False,JOINT_COVERAGE_BELOW_0.80,PREDECESSOR_PASS,PER_SEED_RANK
390992,2,S2_EDIT_AFFECTS_FUTURE_CONTACT,A_affine,REGISTERED_AFFINE_REFERENCE,256,178,0.6953125,0.27207523937358746,0.3971773794890342,0.23059150050717858,0.0986181605376441,1.3023440260440111,True,True,False,JOINT_COVERAGE_BELOW_0.80,PREDECESSOR_PASS,PER_SEED_RANK
390992,2,S1_NO_CONTACT_WITHIN_HORIZON,B_oracle,PRIVILEGED_CARRIER_CAPACITY_DIAGNOSTIC,256,176,0.6875,0.2722029249162699,0.38755529684058854,0.1638274403111128,0.0836223572299879,0.3340902039781213,True,True,False,JOINT_COVERAGE_BELOW_0.80,NOT_APPLICABLE,PER_SEED_RANK
390992,2,S2_EDIT_AFFECTS_FUTURE_CONTACT,B_oracle,PRIVILEGED_CARRIER_CAPACITY_DIAGNOSTIC,256,188,0.734375,0.20779859630759462,0.38448784424268606,0.14209757339437773,0.12543771032120998,1.5164447017014027,True,True,False,JOINT_COVERAGE_BELOW_0.80,NOT_APPLICABLE,PER_SEED_RANK
390992,2,S1_NO_CONTACT_WITHIN_HORIZON,C_full,FULL_HIDDEN_CEILING,256,256,1.0,0.02420201471777165,0.055510345012985726,0.02529330626393425,0.02923552920187776,0.7657861802726984,True,True,True,,NOT_APPLICABLE,ONCE_PER_SEED_RANK_INVARIANT
390992,2,S2_EDIT_AFFECTS_FUTURE_CONTACT,C_full,FULL_HIDDEN_CEILING,256,256,1.0,0.02533660996897625,0.08780062926558024,0.04302269761004371,0.042680312238664454,1.5377041883766651,True,True,True,,NOT_APPLICABLE,ONCE_PER_SEED_RANK_INVARIANT
390992,4,S1_NO_CONTACT_WITHIN_HORIZON,A_affine,REGISTERED_AFFINE_REFERENCE,256,176,0.6875,0.2819026460585792,0.3784567329737864,0.15306930410833117,0.059807293219287974,0.760530075058341,True,True,False,JOINT_COVERAGE_BELOW_0.80,PREDECESSOR_PASS,PER_SEED_RANK
390992,4,S2_EDIT_AFFECTS_FUTURE_CONTACT,A_affine,REGISTERED_AFFINE_REFERENCE,256,181,0.70703125,0.22597640804983532,0.38019127528185254,0.2287472093131277,0.12192817762851943,1.712435856461525,True,True,False,JOINT_COVERAGE_BELOW_0.80,PREDECESSOR_PASS,PER_SEED_RANK
390992,4,S1_NO_CONTACT_WITHIN_HORIZON,B_oracle,PRIVILEGED_CARRIER_CAPACITY_DIAGNOSTIC,256,215,0.83984375,0.15929544987534694,0.35716955276441453,0.11906925801863932,0.14675709662704248,0.5453729536384344,True,True,True,,NOT_APPLICABLE,PER_SEED_RANK
390992,4,S2_EDIT_AFFECTS_FUTURE_CONTACT,B_oracle,PRIVILEGED_CARRIER_CAPACITY_DIAGNOSTIC,256,202,0.7890625,0.18877338055752524,0.35162966989654376,0.13509425013007573,0.12417897304635835,1.4754111878573895,True,True,False,JOINT_COVERAGE_BELOW_0.80,NOT_APPLICABLE,PER_SEED_RANK
390992,4,S1_NO_CONTACT_WITHIN_HORIZON,C_full,FULL_HIDDEN_CEILING,256,256,1.0,0.02420201471777165,0.055510345012985726,0.02529330626393425,0.02923552920187776,0.7657861802726984,True,True,True,,NOT_APPLICABLE,ONCE_PER_SEED_RANK_INVARIANT
390992,4,S2_EDIT_AFFECTS_FUTURE_CONTACT,C_full,FULL_HIDDEN_CEILING,256,256,1.0,0.02533660996897625,0.08780062926558024,0.04302269761004371,0.042680312238664454,1.5377041883766651,True,True,True,,NOT_APPLICABLE,ONCE_PER_SEED_RANK_INVARIANT
390992,6,S1_NO_CONTACT_WITHIN_HORIZON,A_affine,REGISTERED_AFFINE_REFERENCE,256,199,0.77734375,0.2396152432018258,0.29385389246957105,0.13065890151419038,0.05978872796665173,0.9882943704724312,True,True,False,JOINT_COVERAGE_BELOW_0.80,PREDECESSOR_PASS,PER_SEED_RANK
390992,6,S2_EDIT_AFFECTS_FUTURE_CONTACT,A_affine,REGISTERED_AFFINE_REFERENCE,256,176,0.6875,0.10674885093504985,0.20821891558903927,0.21592078032760265,0.1571996471217714,2.100563980638981,True,True,False,JOINT_COVERAGE_BELOW_0.80,PREDECESSOR_PASS,PER_SEED_RANK
390992,6,S1_NO_CONTACT_WITHIN_HORIZON,B_oracle,PRIVILEGED_CARRIER_CAPACITY_DIAGNOSTIC,256,256,1.0,0.07824604273619029,0.19617050434184663,0.05627563942962317,0.07608012626586942,0.8036718238145113,True,True,True,,NOT_APPLICABLE,PER_SEED_RANK
390992,6,S2_EDIT_AFFECTS_FUTURE_CONTACT,B_oracle,PRIVILEGED_CARRIER_CAPACITY_DIAGNOSTIC,256,227,0.88671875,0.09259018514974364,0.2269077217499822,0.10662846400659402,0.10505820607234667,1.563710905611515,True,True,True,,NOT_APPLICABLE,PER_SEED_RANK
390992,6,S1_NO_CONTACT_WITHIN_HORIZON,C_full,FULL_HIDDEN_CEILING,256,256,1.0,0.02420201471777165,0.055510345012985726,0.02529330626393425,0.02923552920187776,0.7657861802726984,True,True,True,,NOT_APPLICABLE,ONCE_PER_SEED_RANK_INVARIANT
390992,6,S2_EDIT_AFFECTS_FUTURE_CONTACT,C_full,FULL_HIDDEN_CEILING,256,256,1.0,0.02533660996897625,0.08780062926558024,0.04302269761004371,0.042680312238664454,1.5377041883766651,True,True,True,,NOT_APPLICABLE,ONCE_PER_SEED_RANK_INVARIANT
390992,8,S1_NO_CONTACT_WITHIN_HORIZON,A_affine,REGISTERED_AFFINE_REFERENCE,256,219,0.85546875,0.20708876460183398,0.20430132364018266,0.1121160100285425,0.046631834834501715,1.0711337439715862,True,True,True,,PREDECESSOR_PASS,PER_SEED_RANK
390992,8,S2_EDIT_AFFECTS_FUTURE_CONTACT,A_affine,REGISTERED_AFFINE_REFERENCE,256,195,0.76171875,0.041152698873721846,0.1598872463815316,0.19008864802155045,0.1425065771498873,2.5799723342061043,True,True,False,JOINT_COVERAGE_BELOW_0.80,PREDECESSOR_PASS,PER_SEED_RANK
390992,8,S1_NO_CONTACT_WITHIN_HORIZON,B_oracle,PRIVILEGED_CARRIER_CAPACITY_DIAGNOSTIC,256,256,1.0,0.0362130317412324,0.06632674683562872,0.02920606176196719,0.03251661305729694,0.7379874121397734,True,True,True,,NOT_APPLICABLE,PER_SEED_RANK
390992,8,S2_EDIT_AFFECTS_FUTURE_CONTACT,B_oracle,PRIVILEGED_CARRIER_CAPACITY_DIAGNOSTIC,256,256,1.0,0.03418488909395094,0.1174395693535171,0.0603727335285348,0.059637414801789815,1.5803392976522446,True,True,True,,NOT_APPLICABLE,PER_SEED_RANK
390992,8,S1_NO_CONTACT_WITHIN_HORIZON,C_full,FULL_HIDDEN_CEILING,256,256,1.0,0.02420201471777165,0.055510345012985726,0.02529330626393425,0.02923552920187776,0.7657861802726984,True,True,True,,NOT_APPLICABLE,ONCE_PER_SEED_RANK_INVARIANT
390992,8,S2_EDIT_AFFECTS_FUTURE_CONTACT,C_full,FULL_HIDDEN_CEILING,256,256,1.0,0.02533660996897625,0.08780062926558024,0.04302269761004371,0.042680312238664454,1.5377041883766651,True,True,True,,NOT_APPLICABLE,ONCE_PER_SEED_RANK_INVARIANT
390992,12,S1_NO_CONTACT_WITHIN_HORIZON,A_affine,REGISTERED_AFFINE_REFERENCE,256,223,0.87109375,0.2042761262947699,0.2010463640172187,0.11268258508586518,0.04718274387473888,1.0310583747923374,True,True,True,,PREDECESSOR_PASS,PER_SEED_RANK
390992,12,S2_EDIT_AFFECTS_FUTURE_CONTACT,A_affine,REGISTERED_AFFINE_REFERENCE,256,195,0.76171875,0.042132817784497276,0.1628124791611394,0.18953500030390819,0.1432782530334521,2.6281832717359066,True,True,False,JOINT_COVERAGE_BELOW_0.80,PREDECESSOR_PASS,PER_SEED_RANK
390992,12,S1_NO_CONTACT_WITHIN_HORIZON,B_oracle,PRIVILEGED_CARRIER_CAPACITY_DIAGNOSTIC,256,256,1.0,0.025501502688921023,0.05626083360184869,0.02613770597067728,0.027797369704111324,0.8411469869315624,True,True,True,,NOT_APPLICABLE,PER_SEED_RANK
390992,12,S2_EDIT_AFFECTS_FUTURE_CONTACT,B_oracle,PRIVILEGED_CARRIER_CAPACITY_DIAGNOSTIC,256,256,1.0,0.028863516132149932,0.10366105348329499,0.05122077936163384,0.04742749005163528,1.6297794878482819,True,True,True,,NOT_APPLICABLE,PER_SEED_RANK
390992,12,S1_NO_CONTACT_WITHIN_HORIZON,C_full,FULL_HIDDEN_CEILING,256,256,1.0,0.02420201471777165,0.055510345012985726,0.02529330626393425,0.02923552920187776,0.7657861802726984,True,True,True,,NOT_APPLICABLE,ONCE_PER_SEED_RANK_INVARIANT
390992,12,S2_EDIT_AFFECTS_FUTURE_CONTACT,C_full,FULL_HIDDEN_CEILING,256,256,1.0,0.02533660996897625,0.08780062926558024,0.04302269761004371,0.042680312238664454,1.5377041883766651,True,True,True,,NOT_APPLICABLE,ONCE_PER_SEED_RANK_INVARIANT
390992,16,S1_NO_CONTACT_WITHIN_HORIZON,A_affine,REGISTERED_AFFINE_REFERENCE,256,223,0.87109375,0.20323008359944222,0.20102766977993258,0.11265227692012278,0.04763981556317139,1.0037641506642103,True,True,True,,PREDECESSOR_PASS,PER_SEED_RANK
